48,"{'Volume': 2113525.0, 'Turnover_ratio': 1.39, 'Price': 1.37, 'Time': '2005-03-23'}"
49,"{'Volume': 715624.0, 'Turnover_ratio': 0.47, 'Price': 1.37, 'Time': '2005-03-24'}"
50,"{'Volume': 566205.0, 'Turnover_ratio': 0.37, 'Price': 1.4, 'Time': '2005-03-25'}"
51,"{'Volume': 679472.0, 'Turnover_ratio': 0.45, 'Price': 1.4, 'Time': '2005-03-28'}"
52,"{'Volume': 421455.0, 'Turnover_ratio': 0.28, 'Price': 1.4, 'Time': '2005-03-29'}"
53,"{'Volume': 539746.0, 'Turnover_ratio': 0.36, 'Price': 1.35, 'Time': '2005-03-30'}"
54,"{'Volume': 554193.0, 'Turnover_ratio': 0.36, 'Price': 1.35, 'Time': '2005-03-31'}"
55,"{'Volume': 664618.0, 'Turnover_ratio': 0.44, 'Price': 1.4, 'Time': '2005-04-01'}"
56,"{'Volume': 435856.0, 'Turnover_ratio': 0.29, 'Price': 1.4, 'Time': '2005-04-04'}"
57,"{'Volume': 286225.0, 'Turnover_ratio': 0.19, 'Price': 1.4, 'Time': '2005-04-05'}"
58,"{'Volume': 397753.0, 'Turnover_ratio': 0.26, 'Price': 1.4, 'Time': '2005-04-06'}"
59,"{'Volume': 1097024.0, 'Turnover_ratio': 0.72, 'Price': 1.41, 'Time': '2005-04-07'}"
60,"{'Volume': 654111.0, 'Turnover_ratio': 0.43, 'Price': 1.43, 'Time': '2005-04-08'}"
61,"{'Volume': 591390.0, 'Turnover_ratio': 0.39, 'Price': 1.4, 'Time': '2005-04-11'}"
62,"{'Volume': 393322.0, 'Turnover_ratio': 0.26, 'Price': 1.37, 'Time': '2005-04-12'}"
63,"{'Volume': 652947.0, 'Turnover_ratio': 0.43, 'Price': 1.37, 'Time': '2005-04-13'}"
64,"{'Volume': 1511329.0, 'Turnover_ratio': 1.0, 'Price': 1.33, 'Time': '2005-04-14'}"
65,"{'Volume': 738839.0, 'Turnover_ratio': 0.49, 'Price': 1.32, 'Time': '2005-04-15'}"
66,"{'Volume': 880942.0, 'Turnover_ratio': 0.58, 'Price': 1.25, 'Time': '2005-04-18'}"
67,"{'Volume': 396517.0, 'Turnover_ratio': 0.26, 'Price': 1.27, 'Time': '2005-04-19'}"
68,"{'Volume': 562923.0, 'Turnover_ratio': 0.37, 'Price': 1.22, 'Time': '2005-04-20'}"
69,"{'Volume': 681214.0, 'Turnover_ratio': 0.45, 'Price': 1.16, 'Time': '2005-04-21'}"
